comment,rating_star
สมราคาที่จ่ายไป,3
เฉยๆ ใช้งานได้แต่ไม่หวือหวา,3
ก็ได้นะ คาดหวังไว้มากกว่านี้,3
สินค้ามาช้ามาก ไม่พอใจ,2
คุณภาพไม่ดีเท่าที่คิด,2
ของมาไม่ครบ ต้องรอเพิ่ม,2
ร้านตอบช้ามาก แก้ปัญหาไม่ได้,2
สินค้าไม่ตรงกับรูป,2
แย่มาก สินค้าพังตั้งแต่แกะกล่อง,1
ไม่แนะนำเลย เสียเงินเปล่า,1
ของไม่ตรงปก โกหกลูกค้า,1
รอสามอาทิตย์กว่าจะได้ของ,1
บริการแย่มาก ไม่รับผิดชอบ,1
สินค้าดีมากครับ จะซื้ออีก,5
ขอบคุณร้านค้า ส่งเร็วมาก,5
ของดีมาก คุณภาพเกินราคา,5
ประทับใจบริการ จัดส่งรวดเร็ว,5
สินค้าสวย ตรงปก แนะนำเลย,5
ใช้งานได้ดี ไม่มีปัญหา,4
สั่งมาหลายครั้งแล้ว ดีตลอด,4
โอเคครับ คุ้มราคา,4
ส่งเร็ว ของโอเค,4
สินค้าตรงสเปค ใช้งานได้ปกติ,4
พอใช้ได้ครับ ไม่มีอะไรพิเศษ,3
เฉยๆ สมราคา,3
ธรรมดาครับ,3
โอเคพอได้ ไม่ได้ดีมาก,3
ใช้งานได้ แต่ไม่ค่อยประทับใจ,3
ของมาช้า ไม่พอใจเลย,2
คุณภาพแย่กว่าที่หวัง,2
กล่องบุบมา สินค้าเสียหาย,2
ร้านไม่รับผิดชอบเลย,2
สินค้าไม่ตรงปกเลย,2
แย่มาก ไม่สั่งอีกแน่นอน,1
สินค้าเสีย ร้านไม่ยอมคืนเงิน,1
โกงลูกค้า ระวังนะครับ,1
ของปลอม คุณภาพห่วยมาก,1
บริการแย่ที่สุด,1
สินค้าดีเกินคาด ประทับใจมาก,5
จัดส่งรวดเร็ว แพ็คดีมาก,5
คุณภาพดี คุ้มราคามากๆ,5
ร้านดีมาก บริการเยี่ยม,5
สั่งซ้ำแน่นอน ของดีมาก,5
ใช้งานโอเค ราคาเหมาะสม,4
สินค้าดี ส่งเร็วพอสมควร,4
แพ็คของแน่น ของไม่เสีย,4
โอเคครับ ตรงตามสั่ง,4
ดีครับ ใช้งานได้ปกติ,4
ธรรมดา ไม่ได้ประทับใจ,3
พอใช้ได้ เฉยๆ,3
สมราคาครับ,3
โอเคพอได้,3
ใช้งานได้แต่คุณภาพปานกลาง,3
ส่งช้ามาก รอนานมาก,2
คุณภาพไม่ดี ผิดหวัง,2
ของมาไม่ครบ,2
ร้านตอบช้า แก้ปัญหาไม่ได้,2
สินค้าไม่ตรงรูป,2
แย่มาก สินค้าเสีย,1
ไม่แนะนำ เสียเงินเปล่า,1
ของไม่ตรงปก โกหก,1
รอนานมากกว่าจะได้ของ,1
บริการห่วย ไม่รับผิดชอบ,1
สินค้าดีมาก ส่งเร็ว,5
ของดีครับ คุณภาพดี,5
ประทับใจร้านนี้มาก,5
บริการดีเยี่ยม จัดส่งเร็ว,5
สินค้าตรงปก สวยมาก,5
ใช้งานได้ดี โอเคครับ,4
สั่งมาแล้ว ดีพอสมควร,4
ของโอเค ราคาคุ้ม,4
แพ็คดี ของไม่เสียหาย,4
สินค้าตรงสเปค,4
เฉยๆ ครับ ธรรมดา,3
พอใช้ได้ สมราคา,3
ไม่ได้พิเศษอะไร,3
โอเคพอได้ครับ,3
ใช้งานได้ปกติ,3
ของช้ามาก ไม่พอใจ,2
คุณภาพแย่ ผิดหวัง,2
สินค้าเสียหายมา,2
ร้านไม่ตอบแชท,2
ไม่ตรงปกเลย,2
แย่มากๆ ไม่สั่งอีก,1
สินค้าพัง ร้านไม่รับผิดชอบ,1
โกง ระวังนะ,1
ของปลอม ห่วยมาก,1
บริการแย่มาก,1
สินค้าดีมาก แนะนำเลยครับ,5
จัดส่งเร็ว ของครบ,5
คุณภาพดีมาก คุ้มราคา,5
ร้านบริการดี ส่งเร็ว,5
ของดีเกินคาด ประทับใจ,5
ใช้งานได้ดี ราคาโอเค,4
สินค้าโอเค ส่งพอสมควร,4
แพ็คของดี ไม่เสียหาย,4
ดีครับ คุ้มราคา,4
สินค้าตรงตามสั่ง,4
ธรรมดาครับ ไม่มีอะไร,3
พอใช้ได้ เฉยๆ ครับ,3
สมราคาที่จ่าย,3
โอเคพอได้นะ,3
ใช้งานได้แต่ไม่ทน,3
ส่งช้า ไม่พอใจ,2
คุณภาพต่ำกว่าที่หวัง,2
ของมาไม่ครบเลย,2
ร้านแก้ปัญหาไม่ได้,2
สินค้าไม่ตรงกับรูป,2
แย่มาก ไม่แนะนำเลย,1
สินค้าเสีย คืนเงินไม่ได้,1
โกงชัดๆ ระวัง,1
ของปลอมแน่นอน,1
บริการห่วยที่สุด,1
สินค้าดีมากเลยครับ,5
ส่งเร็วมาก ประทับใจ,5
ของดี คุณภาพเกินราคา,5
ร้านนี้ดี บริการดีมาก,5
สินค้าสวย ตรงปก,5
ใช้งานได้ดี ไม่มีปัญหาเลย,4
สั่งซ้ำ ของดีตลอด,4
โอเคครับ คุ้มค่า,4
ส่งเร็ว ของดี,4
สินค้าตรงสเปคครับ,4
เฉยๆ ไม่ได้ประทับใจ,3
พอใช้ได้ครับ,3
สมราคา โอเค,3
ธรรมดา ไม่พิเศษ,3
ใช้งานได้ แต่ปานกลาง,3
ของช้า ผิดหวัง,2
คุณภาพไม่ดีพอ,2
กล่องแตก เสียหาย,2
ร้านไม่รับผิดชอบ,2
สินค้าไม่ตรงปก,2
แย่มาก สั่งผิดที่,1
สินค้าพัง ใช้ไม่ได้,1
โกงลูกค้าชัดๆ,1
ของปลอม ไม่แนะนำ,1
บริการแย่ ไม่ตอบแชท,1
ดีมากครับ ส่งเร็ว ของครบ,5
สินค้าคุณภาพดี ประทับใจ,5
ร้านดีมาก แนะนำเลย,5
จัดส่งรวดเร็ว แพ็คดี,5
ของดีเกินคาด สั่งอีกแน่นอน,5
ใช้งานได้ดี ราคาเหมาะ,4
สินค้าดี ส่งเร็วพอสมควร,4
โอเคครับ ไม่มีปัญหา,4
แพ็คของดี สินค้าปลอดภัย,4
ดีครับ ตรงตามที่สั่ง,4
พอใช้ได้ ธรรมดา,3
เฉยๆ ครับ สมราคา,3
ไม่ได้ดีมาก แต่โอเค,3
โอเคพอได้ ธรรมดา,3
ใช้งานได้ปกติ ไม่พิเศษ,3
ส่งช้ามากๆ ไม่พอใจเลย,2
คุณภาพแย่มาก ผิดหวัง,2
ของมาเสียหาย,2
ร้านตอบช้า ไม่ช่วยแก้ปัญหา,2
สินค้าไม่ตรงสีเลย,2
แย่ที่สุด ไม่สั่งอีก,1
สินค้าเสีย ร้านไม่ยอมรับ,1
โกงชัดๆ ไม่แนะนำ,1
ของปลอม คุณภาพห่วย,1
บริการแย่มากๆ,1
